title,nose,taste,finish,score
"Cardinat 1995 27yr, 50%","Toffee, peanut brittle, musty wood, wood spice, vanilla, grape, golden caramel. Sweet toffee and fruits and a little nutty","Creamy caramel, smooth toasted oak, vanilla, grape, musty wood, sweet floral notes, gentle spice, slightly stale wood notes. Light, creamy and sweet. A nice balance of creamy caramel and fruits but the mouthfeel is a little too light and the wood is just a bit off.","Sweet caramel and cherry candy, vanilla, some gentle wood spice and slightly bitter wood notes creep in on the tail end",6
"Cardinat 2003 19yr, 51.5%","Hot cinnamon cherry, brash toasted wood, caramel, big hot spice, tannic wood, some grape under all the spice.","Brash toasted wood, hot cinnamon and cherry, spice heat, light candy grape and caramel, bitter wood, almost nutty, floral notes. Nose doesn't lie this drinks hot and sweet. Feels unbalanced, not enough oak or fruits to overcome the heat","Toasted wood, caramel, hot spice, cinnamon, hot cherry. Some richer caramel wood notes on the finish save this a bit",6
"Dailuaine 1997 24yr ""Signatory Cask Strength,"" hogsheads 50.5%","Big waxy malt and clean cereal grain, sharp green apple, golden caramel, toasted wood with a slight tannic edge, tropical fruits, light wood spice","Clean sweet barley, oily and malty mouthfeel, big green apple, mango and tropical fruits, sugary dessert pastry, thick and bready and sweet but also some richer caramel and toasted wood giving it just a touch of darker woody heft. Great thick mouthfeel","Caramel and thick waxy malt, sugary barley, sweet toasted wood, some vanilla. A thick waxy and malty finish with some gritty barrel notes",8
"""Russell's Reserve Single Barrel"" Mission Wine pick #23-0213, 55%","Thick caramel, honey graham cracker, smooth Wild Turkey corn with a hint of musty Turkey funk, brown sugar, lots of vanilla, cherry candy fruits, sweet toasted wood, gentle cinnamon and baking spices. Delicious and so dang inviting, I want to crawl into this glass and live here","Thick caramel and brown sugar with lots of vanilla hits big in a sweet and satisfying way, baking spice, sweet corn with just enough of that smooth Wild Turkey funk, smooth sweet toasted wood, caramel dipped cherry. Rich flavor, silky smooth and effortlessly balanced, thick oily mouthfeel, ridiculously drinkable and satisfying","Vanilla and caramel with building sweet red fruits, lightly tingling baking spice, smooth sweet toasted wood. No surprises here at all, the sweet satisfying flavor just keeps on coming into the finish",9
"""Through the Grapevine"" Vaudon 1996, 50.3%","Rich flowing caramel, flowery honey, orange marmalade, aromatic Cognac woodiness, sandalwood, sweet tart grape, apricot, tropical fruits, drying wood spice, sweet floral notes. So pleasant and fruity","Caramel, honey with building sweet floral notes and rich fruits, orange, drying Cognac woodiness and aromatic wood spice, bright sweet tropical fruits, apricot, honeyed and rich caramel-covered white fruits, lightly toasted vanilla. It's sweet and almost bright except for the smooth Cognac woodiness and a nice caramel richness coating it all","Drying toasted wood, vanilla, caramel, sweet floral and bright tropical fruits build big and sweet with aromatic wood spice carries on a long time",9
"Seailles 1999, 51%","Thick caramel, charred wood, mint, smooth tannins, tobacco, vanilla, wood spice, grape.","Charred toasted wood, wood spice, thick caramel, drying tannins, tobacco, sweet vanilla, woody cherry, fruity grape.","Brash toasted wood, vanilla, drying tannins, sweet cherry, nice little spice kick, lingering wood spice and tannins",7
"Marquestau 1994, 46.4%","Dank dark toasted oak, fudgy chocolate, wet wood, heavy vanilla, raspberry, strawberry, candy grape. It's so dank and dark but sweet fruits at the same time, you just want to live here","Thick dark oak, smooth and chocolatey toasted, heavy vanilla, but also light drying tannins, mint, chocolate covered cherry, fruity grape still has a nice sweet presence through all the darkness, tobacco. So smooth and thick, the flavor builds and flows and settles effortlessly","Smooth dark toasted wood, mint, still tons of vanilla, trails off into some drying dark oak and mild wood spice",9
"Kilkerran heavily peated ""Peat in Progress"" batch 2, 60.9%","Yep, that is a peat monster all right. Huge lumbering peat, tar, lemon, caramel and light wine funk, ashy char, funky new make spirit, spice, quite hot","Thick mean peat, huge and oily on the palate, vanilla custard, lemon, funky and sweet new make spirit, caramel, gritty char and spice. It's very hot, has some funky youthful notes, but it's not a mess and there's some nice flavor.","Huge powerful peat and lots of peppery spice, bright lemon, tar, vanilla",6
"Dailuaine 2009 9yr ""Old Malt Cask"" Bourbon barrel, 50%","Big sweet barley, lemon cake, hay, light green apple, sweet flowery honey, sugar pastry. I can already tell this is a great barley-forward Scotch","Big pop of sweet sugary barley, hay, Nilla wafers, vanilla icing, sugar pastry, sweet flowery honey, easy tropical fruits. Beautiful oily mouthfeel with flavor that all flows effortlessly. Ridiculously approachable and sweet and malty, so damn drinkable","No surprises, the flavor carries on right into the finish. Sweet sugary barley, soft building spice, lemon citrus, sweet malty goodness",8
"""Old Elk Wheat Whiskey"" 9yr single barrel r/Bourbon pick, 59.4%","Toffee, burnt sugars, bready and sweet, maple, dark toasted wood, woody cherry, vanilla, peanut brittle, sweet char.","Toasted wood, cherry, creamy toffee, maple, burnt sugars, vanilla, just a hint of darker tobacco notes. Thick smooth mouthfeel with a soft kick of zingy baking spice to remind you that it's a cask strength Whiskey. Creamy and sweet but with a beautiful dark toasted edge to it, the flavor all lands perfectly","Toasted cherry wood, creamy toffee, hints of tobacco, soft spice that builds with all the creamy sweetness",8
